Unnamed: 0,Drug1 ID,Interaction,Drug2 ID,Drug1_Name,Drug2_Name,Interaction_Level,Interaction_Type
3,DB08882,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00880,linagliptin,chlorothiazide,Unknown,Antagonism
10,DB00243,the metabolism of (.*) can be decreased when combined with (.*).,DB01110,ranolazine,miconazole,Moderate,Synergism
96,DB01344,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB06723,tolevamer,aluminum hydroxide,Major,New Adverse
105,DB08907,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB01203,canagliflozin,nadolol,Unknown,Synergism
152,DB00986,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01209,glycopyrronium,dezocine,Moderate,New Adverse
185,DB11130,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB00193,opium,tramadol,Major,Synergism
191,DB00911,the metabolism of (.*) can be decreased when combined with (.*).,DB05521,tinidazole,telaprevir,Unknown,Synergism
199,DB01238,the metabolism of (.*) can be decreased when combined with (.*).,DB01211,aripiprazole,clarithromycin,Moderate,Synergism
202,DB11732,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB04871,lasmiditan,lorcaserin,Major,Synergism
246,DB00836,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB05316,loperamide,pimavanserin,Moderate,Synergism
345,DB00912,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00685,repaglinide,trovafloxacin,Major,Synergism
411,DB00661,the risk or severity of myopathy and rhabdomyolysis can be increased when (.*) is combined with (.*).,DB00641,verapamil,simvastatin,Major,Synergism
419,DB12035,the serum concentration of (.*) can be decreased when it is combined with (.*).,DB11093,sarecycline,calcium citrate,Moderate,Antagonism
511,DB09265,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB09129,lixisenatide,chromic chloride,Moderate,Synergism
525,DB01394,the metabolism of (.*) can be decreased when combined with (.*).,DB00501,colchicine,cimetidine,Moderate,Synergism
594,DB00880,the serum concentration of (.*) can be increased when it is combined with (.*).,DB04843,chlorothiazide,mepenzolate,Minor,Synergism
624,DB00779,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB01592,nalidixic acid,iron,Moderate,Antagonism
631,DB01082,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB00438,streptomycin,ceftazidime,Unknown,Synergism
656,DB09135,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB01014,ioxilan,balsalazide,Major,Synergism
725,DB14006,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB00046,choline salicylate,insulin lispro,Unknown,Synergism
839,DB01191,the metabolism of (.*) can be decreased when combined with (.*).,DB00788,dexfenfluramine,naproxen,Moderate,Synergism
853,DB00678,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB06292,losartan,dapagliflozin,Moderate,Synergism
869,DB00295,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB06716,morphine,fospropofol,Moderate,New Adverse
917,DB00801,the serum concentration of (.*) can be increased when it is combined with (.*).,DB08900,halazepam,teduglutide,Moderate,Synergism
924,DB00620,the metabolism of (.*) can be increased when combined with (.*).,DB06372,triamcinolone,rilonacept,Moderate,Antagonism
1104,DB01168,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB00574,procarbazine,fenfluramine,Major,Synergism
1108,DB01017,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB14533,minocycline,zinc chloride,Moderate,Antagonism
1122,DB00765,(.*) may increase the sedative activities of (.*).,DB11130,metyrosine,opium,Moderate,Synergism
1193,DB00752,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB01307,tranylcypromine,insulin detemir,Moderate,Synergism
1277,DB00266,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00583,dicoumarol,levocarnitine,Unknown,Synergism
1278,DB00986,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB00921,glycopyrronium,buprenorphine,Unknown,New Adverse
1368,DB11943,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB09104,delafloxacin,magnesium hydroxide,Unknown,Antagonism
1370,DB00577,the risk or severity of nephrotoxicity can be increased when (.*) is combined with (.*).,DB00994,valaciclovir,neomycin,Moderate,Synergism
1439,DB00459,the risk or severity of pseudotumor cerebri can be increased when (.*) is combined with (.*).,DB01017,acitretin,minocycline,Major,Synergism
1536,DB00203,the serum concentration of (.*) can be increased when it is combined with (.*).,DB01110,sildenafil,miconazole,Unknown,Synergism
1644,DB00991,(.*) may increase the hyperkalemic activities of (.*).,DB11098,oxaprozin,potassium bicarbonate,Unknown,Synergism
1652,DB00782,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01036,propantheline,tolterodine,Moderate,New Adverse
1657,DB06637,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00501,dalfampridine,cimetidine,Moderate,Synergism
1911,DB00275,(.*) may increase the hyperkalemic activities of (.*).,DB13620,olmesartan,potassium gluconate,Major,Synergism
2007,DB06605,the metabolism of (.*) can be decreased when combined with (.*).,DB00673,apixaban,aprepitant,Moderate,Synergism
2083,DB09104,the risk or severity of neuromuscular blockade can be increased when (.*) is combined with (.*).,DB09407,magnesium hydroxide,magnesium chloride,Moderate,New Adverse
2121,DB00451,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00621,levothyroxine,oxandrolone,Unknown,Synergism
2179,DB00912,(.*) may decrease the hypoglycemic activities of (.*).,DB01583,repaglinide,liotrix,Unknown,Antagonism
2195,DB09564,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB04861,insulin degludec,nebivolol,Moderate,Synergism
2225,DB00759,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB06724,tetracycline,calcium carbonate,Unknown,Antagonism
2230,DB08907,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB04861,canagliflozin,nebivolol,Moderate,Synergism
2233,DB08882,the risk or severity of angioedema can be increased when (.*) is combined with (.*).,DB00691,linagliptin,moexipril,Unknown,Synergism
2375,DB00758,the metabolism of (.*) can be decreased when combined with (.*).,DB01211,clopidogrel,clarithromycin,Unknown,Synergism
2515,DB00782,the risk or severity of hyperthermia and oligohydrosis can be increased when (.*) is combined with (.*).,DB00273,propantheline,topiramate,Major,New Adverse
2529,DB00860,the metabolism of (.*) can be decreased when combined with (.*).,DB00622,prednisolone,nicardipine,Unknown,Synergism
2559,DB00570,the metabolism of (.*) can be decreased when combined with (.*).,DB01110,vinblastine,miconazole,Unknown,Synergism
2648,DB01075,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB00836,diphenhydramine,loperamide,Moderate,Synergism
2838,DB01132,the metabolism of (.*) can be decreased when combined with (.*).,DB06595,pioglitazone,midostaurin,Unknown,Synergism
3051,DB09291,the serum concentration of (.*) can be decreased when it is combined with (.*).,DB06119,rolapitant,cenobamate,Moderate,Antagonism
3072,DB00543,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB00889,amoxapine,granisetron,Unknown,New Adverse
3115,DB09564,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB01611,insulin degludec,hydroxychloroquine,Moderate,Synergism
3139,DB01010,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00443,edrophonium,betamethasone,Moderate,Antagonism
3157,DB01240,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB08907,epoprostenol,canagliflozin,Unknown,New Adverse
3183,DB06335,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB01001,saxagliptin,salbutamol,Moderate,Synergism
3287,DB06480,the serum concentration of (.*) can be increased when it is combined with (.*).,DB09034,prucalopride,suvorexant,Unknown,Synergism
3367,DB00945,the risk or severity of hyperkalemia can be increased when (.*) is combined with (.*).,DB01395,acetylsalicylic acid,drospirenone,Moderate,Synergism
3384,DB00710,the serum concentration of (.*) can be decreased when it is combined with (.*).,DB06723,ibandronate,aluminum hydroxide,Moderate,Antagonism
3462,DB08882,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB00983,linagliptin,formoterol,Unknown,Synergism
3503,DB09039,the metabolism of (.*) can be decreased when combined with (.*).,DB00220,eliglustat,nelfinavir,Major,Synergism
3555,DB00472,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB01307,fluoxetine,insulin detemir,Moderate,Synergism
3579,DB00912,(.*) may increase the hypoglycemic activities of (.*).,DB00621,repaglinide,oxandrolone,Moderate,Synergism
3601,DB00757,the metabolism of (.*) can be decreased when combined with (.*).,DB00976,dolasetron,telithromycin,Major,Synergism
3634,DB01124,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00933,tolbutamide,mesoridazine,Moderate,Antagonism
3889,DB01016,the metabolism of (.*) can be increased when combined with (.*).,DB00615,glyburide,rifabutin,Moderate,Antagonism
4083,DB00047,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB06292,insulin glargine,dapagliflozin,Moderate,Synergism
4514,DB09481,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB12147,magnesium carbonate,erdafitinib,Major,New Adverse
4569,DB01016,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00508,glyburide,triflupromazine,Moderate,Antagonism
4575,DB00657,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB06292,mecamylamine,dapagliflozin,Unknown,Synergism
4586,DB11915,the metabolism of (.*) can be decreased when combined with (.*).,DB00757,valbenazine,dolasetron,Major,Synergism
4642,DB01222,(.*) may increase the excretion rate of (.*) which could result in a lower serum level and potentially a reduction in efficacy.,DB00421,budesonide,spironolactone,Moderate,Antagonism
4659,DB06626,the metabolism of (.*) can be decreased when combined with (.*).,DB00927,axitinib,famotidine,Unknown,Synergism
4667,DB00349,the risk or severity of respiratory depression can be increased when (.*) is combined with (.*).,DB11130,clobazam,opium,Moderate,Synergism
4823,DB09020,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB01591,bisacodyl,solifenacin,Moderate,Antagonism
4838,DB00912,the metabolism of (.*) can be decreased when combined with (.*).,DB01167,repaglinide,itraconazole,Moderate,Synergism
4855,DB00912,the serum concentration of (.*) can be increased when it is combined with (.*).,DB15685,repaglinide,selpercatinib,Moderate,Synergism
4885,DB00959,the bioavailability of (.*) can be decreased when combined with (.*).,DB01377,methylprednisolone,magnesium oxide,Minor,Antagonism
4920,DB01166,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB00757,cilostazol,dolasetron,Major,Synergism
4923,DB00782,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01227,propantheline,levacetylmethadol,Moderate,New Adverse
4934,DB00675,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00916,tamoxifen,metronidazole,Unknown,Synergism
4954,DB00889,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB00176,granisetron,fluvoxamine,Major,New Adverse
4956,DB01275,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB09038,hydralazine,empagliflozin,Moderate,New Adverse
4963,DB00921,(.*) may increase the central nervous system depressant \(cns depressant\) activities of (.*).,DB01105,buprenorphine,sibutramine,Moderate,Synergism
4979,DB00537,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB09104,ciprofloxacin,magnesium hydroxide,Unknown,Antagonism
5064,DB01016,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00373,glyburide,timolol,Unknown,Synergism
5066,DB00604,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00877,cisapride,sirolimus,Moderate,Synergism
5085,DB00346,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB00904,alfuzosin,ondansetron,Unknown,Synergism
5091,DB00508,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB00904,triflupromazine,ondansetron,Moderate,New Adverse
5223,DB00222,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00695,glimepiride,furosemide,Moderate,Antagonism
5310,DB09038,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00668,empagliflozin,epinephrine,Moderate,Antagonism
5316,DB00790,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB00047,perindopril,insulin glargine,Moderate,Synergism
5318,DB00206,(.*) may increase the central nervous system depressant \(cns depressant\) activities of (.*).,DB00486,reserpine,nabilone,Moderate,Synergism
5420,DB00673,the metabolism of (.*) can be decreased when combined with (.*).,DB00582,aprepitant,voriconazole,Moderate,Synergism
5486,DB00279,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00258,liothyronine,calcium acetate,Moderate,Antagonism
5531,DB06335,the metabolism of (.*) can be decreased when combined with (.*).,DB00582,saxagliptin,voriconazole,Moderate,Synergism
5532,DB00672,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00310,chlorpropamide,chlorthalidone,Moderate,Antagonism
5556,DB00328,the risk or severity of nephrotoxicity can be increased when (.*) is combined with (.*).,DB01250,indomethacin,olsalazine,Moderate,Synergism
5710,DB11853,the metabolism of (.*) can be increased when combined with (.*).,DB09046,relugolix,metreleptin,Unknown,Antagonism
5725,DB00726,the metabolism of (.*) can be decreased when combined with (.*).,DB11130,trimipramine,opium,Moderate,Synergism
5785,DB00197,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00834,troglitazone,mifepristone,Unknown,Synergism
5817,DB00572,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01036,atropine,tolterodine,Moderate,New Adverse
5819,DB00927,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB04946,famotidine,iloperidone,Moderate,Synergism
5901,DB00669,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB01191,sumatriptan,dexfenfluramine,Major,Synergism
5904,DB00741,the serum concentration of (.*) can be decreased when it is combined with (.*).,DB08899,hydrocortisone,enzalutamide,Moderate,Antagonism
5923,DB09049,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00196,naloxegol,fluconazole,Major,Synergism
