Unnamed: 0,Drug1 ID,Interaction,Drug2 ID,Drug1_Name,Drug2_Name,Interaction_Level,Interaction_Type,Adverse_Effect
3,DB08882,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00880,linagliptin,chlorothiazide,Moderate,Antagonism,Unknown
10,DB00243,the metabolism of (.*) can be decreased when combined with (.*).,DB01110,ranolazine,miconazole,Moderate,Synergism,Unknown
96,DB01344,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB06723,tolevamer,aluminum hydroxide,Major,New Adverse,Adverse effects
105,DB08907,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB01203,canagliflozin,nadolol,Moderate,Synergism,Unknown
152,DB00986,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01209,glycopyrronium,dezocine,Moderate,New Adverse,Adverse effects
185,DB11130,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB00193,opium,tramadol,Major,Synergism,Unknown
191,DB00911,the metabolism of (.*) can be decreased when combined with (.*).,DB05521,tinidazole,telaprevir,Moderate,Synergism,Unknown
199,DB01238,the metabolism of (.*) can be decreased when combined with (.*).,DB01211,aripiprazole,clarithromycin,Moderate,Synergism,Unknown
202,DB11732,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB04871,lasmiditan,lorcaserin,Major,Synergism,Unknown
246,DB00836,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB05316,loperamide,pimavanserin,Moderate,Synergism,Unknown
345,DB00912,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00685,repaglinide,trovafloxacin,Major,Synergism,Unknown
411,DB00661,the risk or severity of myopathy and rhabdomyolysis can be increased when (.*) is combined with (.*).,DB00641,verapamil,simvastatin,Major,Synergism,Unknown
419,DB12035,the serum concentration of (.*) can be decreased when it is combined with (.*).,DB11093,sarecycline,calcium citrate,Moderate,Antagonism,Unknown
511,DB09265,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB09129,lixisenatide,chromic chloride,Moderate,Synergism,Unknown
525,DB01394,the metabolism of (.*) can be decreased when combined with (.*).,DB00501,colchicine,cimetidine,Moderate,Synergism,Unknown
594,DB00880,the serum concentration of (.*) can be increased when it is combined with (.*).,DB04843,chlorothiazide,mepenzolate,Minor,Synergism,Unknown
624,DB00779,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB01592,nalidixic acid,iron,Moderate,Antagonism,Unknown
